Time,Score,TensionZ,AsymZ,DurScore,SuppScore,BPM,BlinkRate,Flags
03:28:00.482,1.23,-6.26,3.2,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.508,1.23,-5.23,3.5,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.526,1.23,-4.45,3.73,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.597,1.23,-5.24,4.13,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.615,1.23,-5.83,4.44,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.647,1.23,-6.99,4.15,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.665,1.23,-7.85,3.95,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.738,1.23,-8.33,4.01,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.759,1.23,-8.69,4.06,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.779,1.23,-7.57,4.05,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.797,1.23,-6.62,4.04,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.861,1.23,-5.22,4.02,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.881,1.23,-4.17,3.99,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.903,1.23,-3.54,3.57,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.922,1.23,-3.06,3.26,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.998,1.23,-3.5,3.73,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:01.022,1.23,-3.83,4.08,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:01.049,1.23,-3.12,4.21,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:01.067,1.23,-2.31,4.41,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:01.107,1.23,-1.59,4.63,0.0,0.0,54,24,
03:28:01.125,1.23,-1.99,5.31,0.0,0.0,54,24,
03:28:01.206,1.23,-2.6,5.8,0.0,0.0,54,24,
03:28:01.225,1.23,-3.05,6.17,0.0,0.0,54,24,
03:28:01.247,1.23,-1.1,5.63,0.0,0.0,54,24,
03:28:01.265,1.23,0.36,5.22,0.0,0.0,54,24,
03:28:01.324,1.23,-0.17,5.28,0.0,0.0,54,24,
03:28:01.342,1.23,-0.56,5.32,0.0,0.0,54,24,
03:28:01.392,1.23,1.53,4.64,0.0,0.0,54,24,
03:28:01.410,1.34,3.1,4.12,0.0,0.0,54,24,
03:28:01.444,1.51,5.46,3.54,0.0,0.0,54,24,
03:28:01.461,1.73,7.23,3.1,0.0,0.0,54,24,
03:28:01.510,1.9,7.35,2.16,0.0,0.0,54,24,
03:28:01.527,2.02,7.43,1.45,0.0,0.0,54,24,
03:28:01.574,2.07,6.23,0.96,0.0,0.0,54,24,
03:28:01.593,2.06,5.32,0.6,0.0,0.0,54,24,
03:28:01.638,2.03,4.81,0.5,0.0,0.0,48,24,
03:28:01.655,1.99,4.42,0.43,0.0,0.0,48,24,
03:28:01.730,1.86,1.98,0.83,0.0,0.0,48,24,
03:28:01.749,1.68,0.16,1.13,0.0,0.0,48,24,
